Id,Position,First Name,Nickname,Last Name,FPPG,Raced,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier
34177-82863,D,Kyle,Kyle Busch,Busch,66.7444458,9,15000,,,,,,
34177-82879,D,Kevin,Kevin Harvick,Harvick,60.02222358,9,14300,,,,,,
34177-82889,D,Joey,Joey Logano,Logano,59.37778049,9,14000,,,,,,
34177-82886,D,Brad,Brad Keselowski,Keselowski,59.88888889,9,13400,,,,,,
34177-82888,D,Kyle,Kyle Larson,Larson,50.77777778,9,13000,,,,,,
34177-82878,D,Denny,Denny Hamlin,Hamlin,60.88888889,9,12300,,,,,,
34177-82903,D,Martin,Martin Truex Jr.,Truex Jr.,57.30000136,9,12000,,,,,,
34177-82872,D,Chase,Chase Elliott,Elliott,55.44444444,9,11800,,,,,,
34177-82862,D,Kurt,Kurt Busch,Busch,63.13333469,9,11500,,,,,,
34177-82858,D,Ryan,Ryan Blaney,Blaney,50.68889025,9,11400,,,,,,
34177-82860,D,Clint,Clint Bowyer,Bowyer,53.17777846,9,11000,,,,,,
34177-82855,D,Aric,Aric Almirola,Almirola,57.88888889,9,10600,,,,,,
34177-82883,D,Erik,Erik Jones,Jones,51.13333469,9,10200,,,,,,
34177-82882,D,Jimmie,Jimmie Johnson,Johnson,53.04444377,9,9700,,,,,,
34177-82900,D,Ricky,Ricky Stenhouse Jr.,Stenhouse Jr.,54.92499924,8,9000,,,,,,
34177-82859,D,Alex,Alex Bowman,Bowman,46.86666531,9,8500,,,,,,
34177-82901,D,Daniel,Daniel Suarez,Suarez,51.84444512,9,8100,,,,,,
34177-82869,D,Austin,Austin Dillon,Dillon,50.22222222,9,7700,,,,,,
34177-82895,D,Ryan,Ryan Newman,Newman,51.11111111,9,7500,,,,,,
34177-82864,D,William,William Byron,Byron,50.47499847,8,7300,,,,,,
34177-82894,D,Paul,Paul Menard,Menard,48.58888753,9,7000,,,,,,
34177-82868,D,Matt,Matt DiBenedetto,DiBenedetto,47.20000076,8,6500,,,,,,
34177-82880,D,Daniel,Daniel Hemric,Hemric,37.63750076,8,6300,,,,,,
34177-82861,D,Chris,Chris Buescher,Buescher,50.76250076,8,6200,,,,,,
34177-101999,D,Ryan,Ryan Preece,Preece,45.22499847,8,6000,,,,,,
34177-82870,D,Ty,Ty Dillon,Dillon,49.875,8,5500,,,,,,
34177-82897,D,David,David Ragan,Ragan,43.61249924,8,5000,,,,,,
34177-82904,D,Bubba,Bubba Wallace,Wallace,42.91249847,8,5000,,,,,,
34177-82865,D,Landon,Landon Cassill,Cassill,39.53749847,8,5000,,,,,,
34177-82891,D,Michael,Michael McDowell,McDowell,38.875,8,4500,,,,,,
34177-102000,D,Matt,Matt Tifft,Tifft,42.45000076,8,4000,,,,,,
34177-82866,D,Ross,Ross Chastain,Chastain,42.66249847,8,4000,,,,,,
34177-82887,D,Corey,Corey LaJoie,LaJoie,42.92499924,8,3500,,,,,,
34177-102808,D,Bayley,Bayley Currey,Currey,40.54999924,2,3000,,,,,,
34177-102270,D,Quin,Quin Houff,Houff,43.70000076,1,3000,,,,,,
